OTU,assignment,phylum,class,order,family,genus
OTU_97.1,Root;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
OTU_97.10,Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Veillonella
OTU_97.100,Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,NA
OTU_97.1000,Root;p__Proteobacteria;c__Betaproteobacteria,Proteobacteria,Betaproteobacteria,NA,NA,NA
OTU_97.10000,Root;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium
OTU_97.10001,Root;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
OTU_97.10002,Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA
OTU_97.10003,Root;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium
OTU_97.10004,Root;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium
OTU_97.10005,Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides